cog_name,type,count
g__Enterococcus_silix_COG_84,core,691
g__Enterococcus_silix_COG_240,core,691
g__Enterococcus_silix_COG_1083,core,691
g__Enterococcus_silix_COG_3859,core,691
g__Enterococcus_silix_COG_1198,core,691
g__Enterococcus_silix_COG_642,core,691
g__Enterococcus_silix_COG_1227,core,691
g__Enterococcus_silix_COG_261,core,691
g__Enterococcus_silix_COG_902,core,691
g__Enterococcus_silix_COG_517,core,691
g__Enterococcus_silix_COG_1374,core,691
g__Enterococcus_silix_COG_474,core,691
g__Enterococcus_silix_COG_274,core,691
g__Enterococcus_silix_COG_735,core,691
g__Enterococcus_silix_COG_1996,core,691
g__Enterococcus_silix_COG_209,core,691
g__Enterococcus_silix_COG_3872,core,691
g__Enterococcus_silix_COG_549,core,691
g__Enterococcus_silix_COG_56,core,691
g__Enterococcus_silix_COG_911,core,691
g__Enterococcus_silix_COG_738,core,691
g__Enterococcus_silix_COG_98,core,691
g__Enterococcus_silix_COG_82,core,691
g__Enterococcus_silix_COG_102,core,691
g__Enterococcus_silix_COG_592,core,691
g__Enterococcus_silix_COG_1041,core,691
g__Enterococcus_silix_COG_1239,core,691
g__Enterococcus_silix_COG_1069,core,691
g__Enterococcus_silix_COG_422,core,691
g__Enterococcus_silix_COG_1576,core,691
g__Enterococcus_silix_COG_1842,core,691
g__Enterococcus_silix_COG_993,core,691
g__Enterococcus_silix_COG_3868,core,690
g__Enterococcus_silix_COG_1388,core,690
g__Enterococcus_silix_COG_2617,core,690
g__Enterococcus_silix_COG_5034,core,690
g__Enterococcus_silix_COG_1500,core,690
g__Enterococcus_silix_COG_3433,core,690
g__Enterococcus_silix_COG_121,core,690
g__Enterococcus_silix_COG_590,core,690
g__Enterococcus_silix_COG_1968,core,690
g__Enterococcus_silix_COG_1081,core,690
g__Enterococcus_silix_COG_466,core,690
g__Enterococcus_silix_COG_737,core,690
g__Enterococcus_silix_COG_4326,core,690
g__Enterococcus_silix_COG_5157,core,690
g__Enterococcus_silix_COG_913,core,690
g__Enterococcus_silix_COG_202,core,690
g__Enterococcus_silix_COG_650,core,690
g__Enterococcus_silix_COG_360,core,690
g__Enterococcus_silix_COG_71,core,690
g__Enterococcus_silix_COG_218,core,690
g__Enterococcus_silix_COG_4843,core,690
g__Enterococcus_silix_COG_770,core,690
g__Enterococcus_silix_COG_212,core,690
g__Enterococcus_silix_COG_1475,core,690
g__Enterococcus_silix_COG_914,core,690
g__Enterococcus_silix_COG_694,core,690
g__Enterococcus_silix_COG_53,core,690
g__Enterococcus_silix_COG_463,core,690
g__Enterococcus_silix_COG_10459,core,690
g__Enterococcus_silix_COG_1688,core,690
g__Enterococcus_silix_COG_1923,core,690
g__Enterococcus_silix_COG_1535,core,690
g__Enterococcus_silix_COG_50,core,690
g__Enterococcus_silix_COG_982,core,690
g__Enterococcus_silix_COG_1530,core,690
g__Enterococcus_silix_COG_1251,core,690
g__Enterococcus_silix_COG_10488,core,690
g__Enterococcus_silix_COG_1200,core,690
g__Enterococcus_silix_COG_7169,core,690
g__Enterococcus_silix_COG_241,core,690
g__Enterococcus_silix_COG_563,core,690
g__Enterococcus_silix_COG_3207,core,690
g__Enterococcus_silix_COG_1027,core,690
g__Enterococcus_silix_COG_118,core,690
g__Enterococcus_silix_COG_10443,core,690
g__Enterococcus_silix_COG_1040,core,690
g__Enterococcus_silix_COG_4088,core,690
g__Enterococcus_silix_COG_928,core,690
g__Enterococcus_silix_COG_1890,core,690
g__Enterococcus_silix_COG_662,core,690
g__Enterococcus_silix_COG_1791,core,690
g__Enterococcus_silix_COG_853,core,690
g__Enterococcus_silix_COG_5156,core,690
g__Enterococcus_silix_COG_831,core,690
g__Enterococcus_silix_COG_5114,core,690
g__Enterococcus_silix_COG_172,core,690
g__Enterococcus_silix_COG_1384,core,690
g__Enterococcus_silix_COG_1075,core,690
g__Enterococcus_silix_COG_4094,core,690
g__Enterococcus_silix_COG_63,core,690
g__Enterococcus_silix_COG_856,core,690
g__Enterococcus_silix_COG_1098,core,690
g__Enterococcus_silix_COG_259,core,690
g__Enterococcus_silix_COG_300,core,690
g__Enterococcus_silix_COG_1489,core,690
g__Enterococcus_silix_COG_462,core,690
g__Enterococcus_silix_COG_981,core,690
g__Enterococcus_silix_COG_991,core,690
g__Enterococcus_silix_COG_4347,core,690
g__Enterococcus_silix_COG_1247,core,690
g__Enterococcus_silix_COG_452,core,690
g__Enterococcus_silix_COG_613,core,690
g__Enterococcus_silix_COG_2329,core,690
g__Enterococcus_silix_COG_294,core,690
g__Enterococcus_silix_COG_848,core,690
g__Enterococcus_silix_COG_1305,core,690
g__Enterococcus_silix_COG_199,core,690
g__Enterococcus_silix_COG_171,core,690
g__Enterococcus_silix_COG_1428,core,690
g__Enterococcus_silix_COG_288,core,690
g__Enterococcus_silix_COG_930,core,690
g__Enterococcus_silix_COG_661,core,690
g__Enterococcus_silix_COG_137,core,690
g__Enterococcus_silix_COG_420,core,690
g__Enterococcus_silix_COG_1230,core,690
g__Enterococcus_silix_COG_2000,core,690
g__Enterococcus_silix_COG_527,core,690
g__Enterococcus_silix_COG_1165,core,690
g__Enterococcus_silix_COG_605,core,690
g__Enterococcus_silix_COG_807,core,690
g__Enterococcus_silix_COG_6402,core,690
g__Enterococcus_silix_COG_741,core,690
g__Enterococcus_silix_COG_1028,core,690
g__Enterococcus_silix_COG_4716,core,690
g__Enterococcus_silix_COG_10480,core,690
g__Enterococcus_silix_COG_1794,core,690
g__Enterococcus_silix_COG_1152,core,690
g__Enterococcus_silix_COG_518,core,690
g__Enterococcus_silix_COG_1358,core,690
g__Enterococcus_silix_COG_835,core,690
g__Enterococcus_silix_COG_4077,core,690
g__Enterococcus_silix_COG_412,core,690
g__Enterococcus_silix_COG_225,core,690
g__Enterococcus_silix_COG_70,core,690
g__Enterococcus_silix_COG_603,core,690
g__Enterococcus_silix_COG_5981,core,690
g__Enterococcus_silix_COG_4125,core,690
g__Enterococcus_silix_COG_492,core,690
g__Enterococcus_silix_COG_7773,core,690
g__Enterococcus_silix_COG_5621,core,690
g__Enterococcus_silix_COG_287,core,690
g__Enterococcus_silix_COG_992,core,690
g__Enterococcus_silix_COG_840,core,690
g__Enterococcus_silix_COG_704,core,690
g__Enterococcus_silix_COG_2160,core,690
g__Enterococcus_silix_COG_178,core,690
g__Enterococcus_silix_COG_672,core,690
g__Enterococcus_silix_COG_808,core,690
g__Enterococcus_silix_COG_41,core,690
g__Enterococcus_silix_COG_2724,core,690
g__Enterococcus_silix_COG_912,core,690
g__Enterococcus_silix_COG_3612,core,690
g__Enterococcus_silix_COG_780,core,690
g__Enterococcus_silix_COG_1506,core,690
g__Enterococcus_silix_COG_949,core,690
g__Enterococcus_silix_COG_6745,core,690
g__Enterococcus_silix_COG_1022,core,690
g__Enterococcus_silix_COG_1092,core,690
g__Enterococcus_silix_COG_4084,core,690
g__Enterococcus_silix_COG_139,core,690
g__Enterococcus_silix_COG_523,core,690
g__Enterococcus_silix_COG_3123,core,690
g__Enterococcus_silix_COG_667,core,690
g__Enterococcus_silix_COG_185,core,690
g__Enterococcus_silix_COG_6161,core,690
g__Enterococcus_silix_COG_731,core,690
g__Enterococcus_silix_COG_1160,core,690
g__Enterococcus_silix_COG_289,core,690
g__Enterococcus_silix_COG_1981,core,690
g__Enterococcus_silix_COG_648,core,690
g__Enterococcus_silix_COG_191,core,690
g__Enterococcus_silix_COG_952,core,690
g__Enterococcus_silix_COG_249,core,690
g__Enterococcus_silix_COG_332,core,690
g__Enterococcus_silix_COG_5187,core,690
g__Enterococcus_silix_COG_6909,core,690
g__Enterococcus_silix_COG_64,core,690
g__Enterococcus_silix_COG_909,core,690
g__Enterococcus_silix_COG_305,core,690
g__Enterococcus_silix_COG_5743,core,690
g__Enterococcus_silix_COG_338,core,690
g__Enterococcus_silix_COG_1084,core,690
g__Enterococcus_silix_COG_1268,core,690
g__Enterococcus_silix_COG_561,core,690
g__Enterococcus_silix_COG_2582,core,690
g__Enterococcus_silix_COG_5111,core,690
g__Enterococcus_silix_COG_1795,core,690
g__Enterococcus_silix_COG_969,core,690
g__Enterococcus_silix_COG_955,core,690
g__Enterococcus_silix_COG_3019,core,690
g__Enterococcus_silix_COG_5202,core,690
g__Enterococcus_silix_COG_554,core,690
g__Enterococcus_silix_COG_692,core,690
g__Enterococcus_silix_COG_5564,core,690
g__Enterococcus_silix_COG_510,core,690
g__Enterococcus_silix_COG_465,core,690
g__Enterococcus_silix_COG_1024,core,690
g__Enterococcus_silix_COG_7832,core,690
g__Enterococcus_silix_COG_708,core,690
g__Enterococcus_silix_COG_771,core,690
g__Enterococcus_silix_COG_1303,core,690
g__Enterococcus_silix_COG_640,core,690
g__Enterococcus_silix_COG_1461,core,690
g__Enterococcus_silix_COG_1082,core,690
g__Enterococcus_silix_COG_1877,core,690
g__Enterococcus_silix_COG_608,core,690
g__Enterococcus_silix_COG_851,core,690
g__Enterococcus_silix_COG_979,core,690
g__Enterococcus_silix_COG_1229,core,690
g__Enterococcus_silix_COG_609,core,690
g__Enterococcus_silix_COG_103,core,690
g__Enterococcus_silix_COG_685,core,690
g__Enterococcus_silix_COG_670,core,690
g__Enterococcus_silix_COG_3165,core,690
g__Enterococcus_silix_COG_3054,core,690
g__Enterococcus_silix_COG_7804,core,690
g__Enterococcus_silix_COG_6797,core,690
g__Enterococcus_silix_COG_156,core,690
g__Enterococcus_silix_COG_233,core,690
g__Enterococcus_silix_COG_311,core,690
g__Enterococcus_silix_COG_1213,core,690
g__Enterococcus_silix_COG_2693,core,690
g__Enterococcus_silix_COG_2762,core,690
g__Enterococcus_silix_COG_1023,core,690
g__Enterococcus_silix_COG_1505,core,690
g__Enterococcus_silix_COG_1031,core,690
g__Enterococcus_silix_COG_1004,core,690
g__Enterococcus_silix_COG_1709,core,690
g__Enterococcus_silix_COG_516,core,690
g__Enterococcus_silix_COG_2559,core,690
g__Enterococcus_silix_COG_683,core,690
g__Enterococcus_silix_COG_1415,core,690
g__Enterococcus_silix_COG_664,core,690
g__Enterococcus_silix_COG_1205,core,690
g__Enterococcus_silix_COG_4414,core,690
g__Enterococcus_silix_COG_794,core,690
g__Enterococcus_silix_COG_633,core,690
g__Enterococcus_silix_COG_1545,core,690
g__Enterococcus_silix_COG_655,core,690
g__Enterococcus_silix_COG_190,core,690
g__Enterococcus_silix_COG_453,core,690
g__Enterococcus_silix_COG_1574,core,690
g__Enterococcus_silix_COG_1798,core,690
g__Enterococcus_silix_COG_591,core,690
g__Enterococcus_silix_COG_743,core,690
g__Enterococcus_silix_COG_1224,core,690
g__Enterococcus_silix_COG_1471,core,690
g__Enterococcus_silix_COG_189,core,690
g__Enterococcus_silix_COG_451,core,690
g__Enterococcus_silix_COG_665,core,690
g__Enterococcus_silix_COG_4095,core,690
g__Enterococcus_silix_COG_847,core,690
g__Enterococcus_silix_COG_556,core,690
g__Enterococcus_silix_COG_489,core,690
g__Enterococcus_silix_COG_226,core,690
g__Enterococcus_silix_COG_514,core,690
g__Enterococcus_silix_COG_1751,core,690
g__Enterococcus_silix_COG_80,core,690
g__Enterococcus_silix_COG_722,core,690
g__Enterococcus_silix_COG_196,core,690
g__Enterococcus_silix_COG_810,core,690
g__Enterococcus_silix_COG_4162,core,690
g__Enterococcus_silix_COG_5088,core,690
g__Enterococcus_silix_COG_341,core,690
g__Enterococcus_silix_COG_632,core,690
g__Enterococcus_silix_COG_838,core,690
g__Enterococcus_silix_COG_1509,core,690
g__Enterococcus_silix_COG_295,core,690
g__Enterococcus_silix_COG_693,core,690
g__Enterococcus_silix_COG_1042,core,690
g__Enterococcus_silix_COG_397,core,690
g__Enterococcus_silix_COG_1806,core,690
g__Enterococcus_silix_COG_4248,core,690
g__Enterococcus_silix_COG_447,core,690
g__Enterococcus_silix_COG_750,core,690
g__Enterococcus_silix_COG_724,core,690
g__Enterococcus_silix_COG_1787,core,690
g__Enterococcus_silix_COG_2722,core,690
g__Enterococcus_silix_COG_6566,core,690
g__Enterococcus_silix_COG_6345,core,690
g__Enterococcus_silix_COG_1065,core,690
g__Enterococcus_silix_COG_995,core,690
g__Enterococcus_silix_COG_5631,core,690
g__Enterococcus_silix_COG_1017,core,690
g__Enterococcus_silix_COG_1524,core,690
g__Enterococcus_silix_COG_468,core,690
g__Enterococcus_silix_COG_210,core,690
g__Enterococcus_silix_COG_3894,core,690
g__Enterococcus_silix_COG_723,core,690
g__Enterococcus_silix_COG_1250,core,690
g__Enterococcus_silix_COG_837,core,690
g__Enterococcus_silix_COG_10478,core,690
g__Enterococcus_silix_COG_799,core,690
g__Enterococcus_silix_COG_1288,core,690
g__Enterococcus_silix_COG_1537,core,690
g__Enterococcus_silix_COG_994,core,690
